date,time,location,latitude,longitude,crime_type,severity,district
2020-09-02,19:02,"452 Park Street, Mumbai",19.0398,72.8278,Theft,Medium,Downtown
2020-09-02,20:58,"835 River Road, Dehradun",30.3243,77.9984,Vandalism,Medium,Financial District
2020-09-03,07:56,"26 Brigade Road, Madurai",9.9387,78.0786,Arson,Medium,South
2020-09-03,13:58,"32 River Road, Gwalior",26.2427,78.201,Assault,Medium,Government Quarter
2020-09-03,18:08,"952 Station Road, Meerut",28.9383,77.7554,Vandalism,Low,IT Hub
2020-09-03,18:11,"208 Beach Road, Bhopal",23.2911,77.4433,Motor Vehicle Theft,Low,Residential Area
2020-09-04,14:12,"507 SV Road, Pune",18.5113,73.8464,Burglary,Medium,New Town
2020-09-04,15:04,"408 LBS Road, Kanpur",26.4057,80.3015,Vandalism,Low,Downtown
2020-09-04,18:40,"920 State Highway, Jaipur",26.9566,75.76,Arson,Low,North
2020-09-04,19:13,"890 Mall Road, Coimbatore",11.0097,77.0032,Cybercrime,Medium,Suburban
2020-09-04,19:17,"379 Inner Ring Road, Surat",21.196,72.7979,Juvenile Crime,Low,Downtown
2020-09-05,08:24,"831 Express Highway, Jaipur",26.8963,75.7766,Kidnapping,High,Airport Area
2020-09-05,14:14,"291 Commercial Street, Jamshedpur",22.788,86.1717,Dacoity,Low,Central
2020-09-05,15:47,"55 Cross Road, Jodhpur",26.2563,73.0482,Cheating,High,Suburban
2020-09-05,16:06,"437 Park Street, Bhubaneswar",20.2653,85.7838,Dowry Death,High,Residential Area
2020-09-05,16:16,"594 Beach Road, Ahmedabad",23.0131,72.5217,Extortion,High,South
2020-09-05,19:53,"230 Nehru Street, Nashik",20.0413,73.7501,Kidnapping,Critical,Central
2020-09-06,13:42,"801 Lake Road, Salem",11.6325,78.1099,Forgery,Medium,West
2020-09-06,16:10,"759 National Highway, Haridwar",29.9167,78.2083,Culpable Homicide,High,New Town
2020-09-06,17:43,"778 Nehru Street, Madurai",9.9219,78.1059,Burglary,Low,Industrial Area
2020-09-06,19:15,"467 Express Highway, Ludhiana",30.8876,75.9033,Child Abuse,Medium,Residential Area
2020-09-06,21:49,"454 Market Street, Chandigarh",30.7082,76.8065,Cybercrime,High,North
2020-09-06,22:34,"932 Commercial Street, Bhopal",23.2957,77.4014,Cheating,Low,Commercial District
2020-09-06,22:36,"255 Beach Road, Bhopal",23.2886,77.3706,Assault,Medium,Airport Area
2020-09-07,07:42,"191 Mall Road, Dehradun",30.3546,78.0248,Arson,Low,East
2020-09-07,12:15,"921 Gandhi Nagar, Chennai",13.1244,80.2241,Domestic Violence,Medium,Bus Terminal Area
2020-09-07,13:16,"909 Nehru Street, Coimbatore",11.0307,76.9257,Drug Trafficking,Medium,Shopping Complex
2020-09-07,16:05,"215 Linking Road, Patna",25.6335,85.1299,Rape,High,Central
2020-09-07,16:17,"298 Commercial Street, Vasai-Virar",19.4667,72.7994,Forgery,Medium,Bus Terminal Area
2020-09-07,16:53,"751 MG Road, Ghaziabad",28.68,77.4505,Dacoity,Low,North
2020-09-07,16:55,"912 Inner Ring Road, Meerut",28.9598,77.7093,Arson,Low,University Area
2020-09-07,17:22,"121 Market Street, Vadodara",22.3131,73.1863,Honor Killing,Critical,Industrial Area
2020-09-07,19:34,"826 National Highway, Ahmedabad",22.9764,72.5673,Vandalism,Medium,Central
2020-09-08,06:01,"891 Lake Road, Agra",27.1274,77.9717,Criminal Intimidation,Low,West
2020-09-08,10:02,"812 Linking Road, Indore",22.6723,75.8988,Fraud,Low,Airport Area
2020-09-08,17:11,"200 Beach Road, Chennai",13.0902,80.2778,Grievous Hurt,Medium,Mall Area
2020-09-08,17:27,"209 Brigade Road, Tiruchirappalli",10.8361,78.7211,Burglary,Medium,Shopping Complex
2020-09-08,18:38,"794 Hill Road, Kota",25.2388,75.9141,Cybercrime,Medium,IT Hub
2020-09-08,18:54,"824 Inner Ring Road, Kolkata",22.5253,88.3797,Motor Vehicle Theft,Medium,University Area
2020-09-08,20:20,"716 Hill Road, Tirunelveli",8.7424,77.7081,Narcotic Drugs Act,Low,East
2020-09-09,12:56,"838 Main Road, Gwalior",26.2251,78.189,Criminal Breach of Trust,High,Financial District
2020-09-09,17:14,"770 Station Road, Bangalore",12.9644,77.5457,Corruption,Medium,West
2020-09-09,18:04,"69 Raj Path, Imphal",24.8007,93.8977,Honor Killing,Critical,Railway Station Area
2020-09-09,18:23,"507 Civil Lines, Kota",25.18,75.8379,Domestic Violence,Medium,North
2020-09-09,19:31,"418 Commercial Street, Kota",25.2133,75.8463,Vandalism,Medium,Central
2020-09-09,20:22,"397 Mall Road, Imphal",24.8046,93.9469,Extortion,Medium,Mall Area
2020-09-10,11:52,"438 SV Road, Madurai",9.9183,78.1361,Attempt to Murder,Critical,Railway Station Area
2020-09-10,12:29,"370 Cross Road, Ahmedabad",23.0245,72.571,SC/ST Atrocity,Medium,Residential Area
2020-09-10,14:33,"506 MG Road, Ghaziabad",28.656,77.4442,Property Dispute,Low,Government Quarter
2020-09-10,15:53,"685 Park Street, Rajkot",22.2648,70.8207,Forgery,Low,Bus Terminal Area
2020-09-11,09:58,"269 Express Highway, Visakhapatnam",17.6405,83.2434,Vandalism,Low,Industrial Area
2020-09-11,13:28,"243 Express Highway, Lucknow",26.8568,80.9553,Grievous Hurt,Medium,Central
2020-09-11,17:05,"342 Residency Road, Thiruvananthapuram",8.4779,76.9182,Theft,Medium,South
2020-09-11,17:48,"121 Mall Road, Haridwar",29.9164,78.1801,Arms Act,High,Bus Terminal Area
2020-09-11,18:44,"918 Hill Road, Meerut",28.9833,77.7056,Arson,Low,Mall Area
2020-09-12,09:28,"348 Market Street, Vadodara",22.3144,73.1317,Arms Act,Medium,Railway Station Area
2020-09-12,15:25,"764 LBS Road, Nashik",19.9853,73.8237,Criminal Breach of Trust,High,Shopping Complex
2020-09-12,18:40,"183 Linking Road, Agra",27.2029,77.9681,Criminal Intimidation,Low,Airport Area
2020-09-13,10:06,"557 Church Street, Ghaziabad",28.6855,77.4449,Fraud,Medium,Market Area
2020-09-13,16:54,"262 Brigade Road, Dehradun",30.3054,78.0774,Mischief,Low,Downtown
2020-09-13,16:57,"402 Linking Road, Kalyan-Dombivli",19.1986,73.1444,Causing Hurt,Low,Shopping Complex
2020-09-13,22:20,"270 Residency Road, Ludhiana",30.9174,75.8374,Criminal Intimidation,Low,Airport Area
2020-09-14,05:43,"237 Express Highway, Pune",18.5152,73.8428,Corruption,Medium,Commercial District
2020-09-14,07:49,"845 Station Road, Varanasi",25.2897,82.9875,Narcotic Drugs Act,Low,Downtown
2020-09-14,14:54,"451 Linking Road, Faridabad",28.4066,77.2959,Corruption,High,Railway Station Area
2020-09-14,15:58,"338 National Highway, Kota",25.2435,75.8365,IT Act Violation,Low,University Area
2020-09-14,16:54,"662 Beach Road, Tirunelveli",8.7624,77.7374,Mischief,Low,Old City
2020-09-15,09:00,"376 LBS Road, Tirunelveli",8.6781,77.7912,Arms Act,Low,Central
2020-09-15,15:12,"8 State Highway, Udaipur",24.5497,73.7466,Narcotic Drugs Act,Medium,Residential Area
2020-09-15,16:15,"461 Hill Road, Thane",19.2388,73.0251,Rioting,Medium,Central
2020-09-15,19:06,"124 Inner Ring Road, Thane",19.2658,73.0111,Dacoity,High,Mall Area
2020-09-15,19:09,"243 Nehru Street, Agra",27.1767,78.0348,Vandalism,Medium,Shopping Complex
2020-09-15,19:09,"941 Circle, Faridabad",28.4157,77.2945,Motor Vehicle Theft,Low,Hospital Area
2020-09-15,19:19,"965 Beach Road, Ahmedabad",23.0445,72.5556,SC/ST Atrocity,Low,Market Area
2020-09-15,19:55,"171 Gandhi Nagar, Bangalore",13.005,77.547,Fraud,Medium,West
2020-09-15,21:09,"705 Residency Road, Amritsar",31.5913,74.8993,Eve Teasing,Medium,Railway Station Area
2020-09-16,07:47,"956 Cross Road, Varanasi",25.3461,83.019,Domestic Violence,Medium,Mall Area
2020-09-16,09:05,"549 Cross Road, Kanpur",26.4342,80.3189,Assault,High,Central
2020-09-16,09:57,"332 Linking Road, Faridabad",28.3647,77.3604,Dacoity,Low,Railway Station Area
2020-09-16,10:44,"849 Market Street, Jaipur",26.8874,75.8084,Economic Offence,Low,Shopping Complex
2020-09-16,15:17,"3 Commercial Street, Jabalpur",23.1946,79.9513,Fraud,Low,IT Hub
2020-09-16,16:30,"106 LBS Road, Haridwar",29.9921,78.1856,Murder,High,Shopping Complex
2020-09-16,17:01,"783 Brigade Road, Kolkata",22.5359,88.402,Rioting,High,Financial District
2020-09-17,10:29,"185 Inner Ring Road, Cuttack",20.4283,85.9086,Theft,Low,South
2020-09-17,12:50,"237 Nehru Street, Madurai",9.905,78.0816,Cheating,Medium,Bus Terminal Area
2020-09-17,14:17,"505 Cross Road, Dehradun",30.3348,78.0101,Narcotic Drugs Act,Low,Bus Terminal Area
2020-09-17,18:15,"294 Nehru Street, Bangalore",12.9346,77.6343,Cheating,Medium,New Town
2020-09-17,21:11,"587 Commercial Street, Amritsar",31.5842,74.8925,Kidnapping,Critical,Railway Station Area
2020-09-17,22:28,"177 Park Street, Meerut",28.9939,77.7016,Criminal Intimidation,Medium,Downtown
2020-09-18,11:43,"774 Beach Road, Thane",19.228,72.9638,Mischief,High,Mall Area
2020-09-18,12:25,"994 Nehru Street, Jaipur",26.8973,75.8161,Robbery,Medium,Commercial District
2020-09-18,12:32,"210 Lake Road, Tiruchirappalli",10.7508,78.717,Burglary,Low,Old City
2020-09-18,16:46,"915 Beach Road, Nashik",20.0441,73.775,Fraud,Low,Shopping Complex
2020-09-19,06:15,"121 Residency Road, Jodhpur",26.1949,72.994,Vandalism,Low,Hospital Area
2020-09-19,09:20,"685 Cross Road, Raipur",21.2554,81.6753,Eve Teasing,Low,East
2020-09-19,10:56,"787 Station Road, Ranchi",23.3492,85.3184,Economic Offence,High,IT Hub
2020-09-19,18:13,"660 State Highway, Nagpur",21.1604,79.123,Corruption,Medium,North
2020-09-20,06:12,"216 Market Street, Mumbai",19.0541,72.9087,Land Dispute,Medium,Industrial Area
2020-09-20,08:07,"78 Express Highway, Ranchi",23.3801,85.2961,Criminal Breach of Trust,Medium,North
2020-09-20,09:18,"940 Raj Path, Patna",25.5827,85.1037,Vandalism,Low,Market Area
2020-09-20,10:08,"49 MG Road, Kalyan-Dombivli",19.278,73.1013,Theft,Low,Suburban
2020-09-20,10:09,"653 Market Street, Udaipur",24.5646,73.7009,House Breaking,Medium,Central
2020-09-20,15:05,"207 Hill Road, Ludhiana",30.8662,75.8491,Drug Trafficking,Medium,Hospital Area
2020-09-20,15:06,"734 Express Highway, Ahmedabad",23.0464,72.5696,Vandalism,Medium,Hospital Area
2020-09-20,18:42,"119 Mall Road, Cuttack",20.4348,85.8966,Theft,Low,Government Quarter
2020-09-21,01:30,"836 Civil Lines, Faridabad",28.3691,77.3087,Cheating,Low,Mall Area
2020-09-21,12:16,"482 Linking Road, Kalyan-Dombivli",19.2837,73.1112,Burglary,High,Mall Area
2020-09-21,14:13,"818 Nehru Street, Hyderabad",17.4152,78.465,Dishonor of Cheque,Low,South
2020-09-21,15:56,"258 Cross Road, Surat",21.1867,72.8366,Robbery,Medium,New Town
2020-09-21,20:27,"893 Park Street, Ahmedabad",23.0073,72.614,Robbery,Medium,Shopping Complex
2020-09-22,01:51,"98 Cross Road, Surat",21.1428,72.7893,Kidnapping,High,Market Area
2020-09-22,11:37,"910 MG Road, Bhubaneswar",20.3082,85.8364,Domestic Violence,High,South
2020-09-22,16:24,"859 State Highway, Lucknow",26.863,80.9342,Criminal Intimidation,Medium,Residential Area
2020-09-22,17:06,"47 Lake Road, Bangalore",12.9627,77.5512,Theft,Medium,Central
2020-09-22,18:16,"987 Commercial Street, Cuttack",20.4507,85.8658,Causing Hurt,Medium,Commercial District
2020-09-23,06:33,"850 Brigade Road, Salem",11.655,78.1707,Burglary,Low,Hospital Area
2020-09-23,09:24,"823 Mall Road, Raipur",21.2778,81.6444,Economic Offence,Low,East
2020-09-23,12:40,"504 Inner Ring Road, Chennai",13.0537,80.2906,Robbery,Medium,Downtown
2020-09-23,16:27,"788 LBS Road, Ludhiana",30.8963,75.8076,Eve Teasing,High,Bus Terminal Area
2020-09-23,17:36,"137 Circle, Patna",25.5804,85.179,Burglary,Medium,Market Area
2020-09-23,18:22,"244 Cross Road, Udaipur",24.5434,73.7551,Forgery,Low,South
2020-09-23,19:39,"282 Gandhi Nagar, Coimbatore",11.0657,76.9947,Motor Vehicle Theft,Low,Residential Area
2020-09-24,07:38,"242 Circle, Gwalior",26.1884,78.1719,Arson,Low,Residential Area
2020-09-24,11:21,"985 National Highway, Imphal",24.8332,93.8982,Forgery,Medium,Financial District
2020-09-24,12:00,"841 Lake Road, Kanpur",26.4632,80.3724,Burglary,Medium,East
2020-09-24,12:15,"821 Commercial Street, Patna",25.5702,85.1191,House Breaking,Medium,Mall Area
2020-09-24,14:02,"742 Circle, Ahmedabad",23.0573,72.5369,Arms Act Violation,High,New Town
2020-09-24,15:11,"992 SV Road, Patna",25.6419,85.1005,Causing Hurt,Low,South
2020-09-24,15:22,"705 Hill Road, Mumbai",19.0554,72.8456,Theft,Low,Airport Area
2020-09-24,16:45,"287 Station Road, Rajkot",22.3364,70.7834,Fraud,Low,Downtown
2020-09-24,17:26,"656 Raj Path, Hyderabad",17.3595,78.4513,Vandalism,Medium,Residential Area
2020-09-25,04:19,"703 Outer Ring Road, Udaipur",24.6137,73.6959,IT Act Violation,Medium,Bus Terminal Area
2020-09-25,12:15,"430 Brigade Road, Hyderabad",17.3732,78.4577,Assault,Medium,Financial District
2020-09-25,12:17,"449 Inner Ring Road, Nashik",20.0232,73.8194,Assault,Medium,Industrial Area
2020-09-25,13:42,"770 Gandhi Nagar, Jabalpur",23.1615,79.968,Eve Teasing,Medium,Central
2020-09-25,14:09,"271 Outer Ring Road, Coimbatore",10.9696,76.9109,Causing Hurt,Medium,Bus Terminal Area
2020-09-25,15:09,"84 Mall Road, Vasai-Virar",19.4729,72.8194,Causing Hurt,Medium,Downtown
2020-09-25,16:00,"100 Commercial Street, Varanasi",25.2739,82.9326,Eve Teasing,Low,Bus Terminal Area
2020-09-25,16:10,"947 Lake Road, Jabalpur",23.2047,80.0291,Child Abuse,Medium,Downtown
2020-09-25,17:53,"541 Nehru Street, Meerut",28.9382,77.7097,Burglary,Low,Old City
2020-09-25,18:42,"33 Hill Road, Bhopal",23.2272,77.4332,Causing Hurt,Low,Mall Area
2020-09-26,14:55,"799 Raj Path, Varanasi",25.2996,82.9979,Murder,High,New Town
2020-09-26,15:16,"383 Commercial Street, Nashik",20.0406,73.7909,Assault,Medium,Bus Terminal Area
2020-09-26,15:22,"505 LBS Road, Kanpur",26.4279,80.352,Forgery,Low,Government Quarter
2020-09-26,17:43,"947 Lake Road, Faridabad",28.4344,77.3082,Domestic Violence,Medium,South
2020-09-26,19:23,"697 Cross Road, Hyderabad",17.3999,78.4598,House Breaking,Medium,Railway Station Area
2020-09-27,16:06,"927 Inner Ring Road, Jabalpur",23.178,79.9534,Burglary,Medium,Hospital Area
2020-09-27,16:46,"485 Lake Road, Tirunelveli",8.7215,77.731,Motor Vehicle Theft,Low,IT Hub
2020-09-27,16:56,"898 Civil Lines, Jabalpur",23.1617,80.0238,Grievous Hurt,Low,South
2020-09-27,18:57,"890 Linking Road, Kochi",9.9082,76.2848,Narcotic Drugs Act,Medium,Government Quarter
2020-09-27,19:05,"267 Raj Path, Ghaziabad",28.6902,77.4471,Fraud,High,Old City
2020-09-27,22:28,"472 Residency Road, Jabalpur",23.1704,80.0129,Juvenile Crime,Medium,Mall Area
2020-09-28,01:45,"48 Circle, Bangalore",12.9447,77.5696,Corruption,Low,South
2020-09-28,06:41,"968 Civil Lines, Lucknow",26.8613,80.9697,IT Act Violation,Low,East
2020-09-28,09:46,"849 Church Street, Ahmedabad",22.9894,72.561,IT Act Violation,Low,Bus Terminal Area
2020-09-28,11:59,"379 Cantonment, Agra",27.2148,78.046,Vandalism,Low,Downtown
2020-09-28,14:22,"17 LBS Road, Patna",25.568,85.1875,Cheating,Medium,Shopping Complex
2020-09-28,16:10,"127 Commercial Street, Raipur",21.2264,81.6596,Corruption,Medium,Airport Area
2020-09-28,18:33,"600 Park Street, Vadodara",22.2633,73.154,Grievous Hurt,Low,Railway Station Area
2020-09-29,10:01,"287 Express Highway, Tiruchirappalli",10.839,78.7464,Motor Vehicle Theft,Low,Mall Area
2020-09-29,11:17,"844 Church Street, Jamshedpur",22.7598,86.2509,Burglary,Low,Airport Area
2020-09-29,11:29,"650 Linking Road, Thiruvananthapuram",8.5075,76.9636,Burglary,Low,Downtown
2020-09-29,13:03,"151 Main Road, Amritsar",31.6312,74.9199,Drug Trafficking,Medium,Shopping Complex
2020-09-29,14:52,"208 Cross Road, Bhubaneswar",20.2597,85.7889,Assault,Medium,Shopping Complex
2020-09-29,18:40,"503 SV Road, Tirunelveli",8.7195,77.7263,Fraud,Low,Shopping Complex
2020-09-29,20:21,"326 Beach Road, Kanpur",26.4634,80.3703,Forgery,Low,Shopping Complex
2020-09-30,14:07,"82 Civil Lines, Kanpur",26.4059,80.321,Arson,Medium,Mall Area
2020-09-30,14:43,"603 Inner Ring Road, Cuttack",20.5104,85.8597,Arson,Low,North
2020-09-30,15:40,"64 Linking Road, Imphal",24.8064,93.946,Fraud,Low,Shopping Complex
2020-09-30,16:27,"211 Church Street, Visakhapatnam",17.7076,83.19,Forgery,Medium,Central
2020-09-30,19:35,"689 Main Road, Bhubaneswar",20.2822,85.8728,Burglary,Low,Commercial District
2020-10-01,05:53,"120 Express Highway, Pune",18.5299,73.8628,Robbery,High,West
2020-10-01,10:29,"515 MG Road, Thiruvananthapuram",8.5251,76.9263,Theft,Medium,Shopping Complex
2020-10-01,11:36,"308 Outer Ring Road, Chandigarh",30.7465,76.7737,Extortion,High,New Town
2020-10-01,12:21,"680 Outer Ring Road, Imphal",24.7783,93.9007,Burglary,Low,North
2020-10-01,15:31,"476 Civil Lines, Cuttack",20.418,85.8534,Domestic Violence,Medium,Hospital Area
2020-10-01,19:14,"519 Raj Path, Jodhpur",26.2261,73.0306,Forgery,Medium,Old City
2020-10-01,21:17,"534 Lake Road, Ghaziabad",28.6836,77.4798,Robbery,High,IT Hub
2020-10-02,16:19,"580 National Highway, Faridabad",28.4248,77.3451,Robbery,Medium,Government Quarter
2020-10-02,18:27,"262 Church Street, Ahmedabad",22.9813,72.6183,Theft,Medium,IT Hub
2020-10-02,19:01,"511 Main Road, Pune",18.5442,73.8897,Corruption,Low,Central
2020-10-03,10:45,"767 SV Road, Chennai",13.0442,80.2767,Drug Trafficking,Medium,Downtown
2020-10-03,11:56,"220 Beach Road, Vadodara",22.2579,73.2296,Juvenile Crime,Low,Old City
2020-10-03,13:14,"300 Beach Road, Meerut",28.9723,77.6622,Robbery,Medium,Government Quarter
2020-10-03,13:51,"657 Linking Road, Pune",18.5534,73.8068,Mischief,Low,Shopping Complex
2020-10-03,15:19,"208 Lake Road, Faridabad",28.3686,77.2893,Vandalism,Low,Residential Area
2020-10-03,18:28,"494 Lake Road, Ranchi",23.3872,85.3016,Criminal Breach of Trust,Low,Commercial District
2020-10-04,07:22,"652 Brigade Road, Lucknow",26.802,80.9323,Extortion,High,North
2020-10-04,10:48,"284 Beach Road, Jamshedpur",22.7958,86.1588,Acid Attack,Critical,Hospital Area
2020-10-04,11:05,"553 Express Highway, Lucknow",26.8333,80.9581,Fraud,High,IT Hub
2020-10-04,11:24,"687 Outer Ring Road, Hyderabad",17.3533,78.4584,Vandalism,Low,Mall Area
2020-10-04,13:14,"38 Civil Lines, Dehradun",30.288,78.0193,Assault,Medium,Central
2020-10-04,16:24,"670 Market Street, Gwalior",26.2454,78.1671,Arms Act,Medium,Residential Area
2020-10-04,16:42,"529 Outer Ring Road, Cuttack",20.497,85.8971,Causing Hurt,Low,Financial District
2020-10-04,18:55,"336 Church Street, Varanasi",25.2858,82.9499,Criminal Intimidation,Medium,Financial District
2020-10-04,21:04,"527 Lake Road, Bhopal",23.2317,77.4264,Eve Teasing,Medium,Financial District
2020-10-05,15:24,"887 Raj Path, Haridwar",29.9935,78.1638,Theft,Low,Hospital Area
2020-10-05,15:59,"815 Cross Road, Salem",11.6777,78.1452,Honor Killing,High,Old City
2020-10-06,08:01,"111 Church Street, Jaipur",26.8954,75.7947,Mischief,Low,Suburban
2020-10-06,20:59,"555 Civil Lines, Madurai",9.953,78.1639,Arson,Low,Government Quarter
2020-10-07,04:34,"505 Residency Road, Ranchi",23.3017,85.3045,Motor Vehicle Theft,Low,East
2020-10-07,14:18,"171 Cross Road, Ludhiana",30.9239,75.8291,Forgery,Low,Bus Terminal Area
2020-10-07,14:26,"290 Raj Path, Pune",18.5216,73.8685,Corruption,Medium,East
2020-10-07,16:22,"894 LBS Road, Delhi",28.7096,77.0617,Forgery,Low,Hospital Area
2020-10-08,07:30,"351 Inner Ring Road, Ludhiana",30.8601,75.8563,Assault,High,University Area
2020-10-08,12:03,"95 Express Highway, Bhopal",23.2425,77.4258,Cheating,Low,University Area
2020-10-08,12:20,"178 Residency Road, Jamshedpur",22.7759,86.1575,Fraud,Medium,South
2020-10-08,12:32,"825 Park Street, Lucknow",26.8926,80.9665,Cybercrime,Medium,Market Area
2020-10-08,14:58,"721 Cantonment, Nagpur",21.1775,79.1354,Defamation,Medium,Government Quarter
2020-10-08,15:27,"497 Express Highway, Madurai",9.9612,78.1535,Burglary,Medium,Financial District
2020-10-08,21:46,"387 Commercial Street, Haridwar",29.9765,78.1745,Narcotic Drugs Act,Medium,Central
2020-10-09,15:31,"96 Residency Road, Nagpur",21.1002,79.0684,Corruption,Medium,Market Area
2020-10-09,17:41,"786 Cantonment, Thane",19.2196,72.9877,Extortion,Medium,Central
2020-10-10,11:55,"381 Inner Ring Road, Visakhapatnam",17.642,83.2166,IT Act Violation,Low,East
2020-10-10,14:59,"607 National Highway, Delhi",28.6757,77.0676,Assault,Medium,University Area
2020-10-10,15:24,"979 Raj Path, Jodhpur",26.2336,73.0314,Cybercrime,Medium,Industrial Area
2020-10-10,18:42,"292 Hill Road, Tiruchirappalli",10.8162,78.7383,Burglary,Low,Central
2020-10-10,19:43,"800 SV Road, Faridabad",28.4271,77.3043,Mischief,Low,Bus Terminal Area
2020-10-11,07:03,"314 Outer Ring Road, Vadodara",22.3037,73.1335,Forgery,Medium,Suburban
2020-10-11,09:33,"301 Main Road, Gwalior",26.2084,78.1797,Cybercrime,High,Mall Area
2020-10-11,11:06,"232 Mall Road, Ghaziabad",28.7053,77.4762,Cybercrime,High,South
2020-10-11,12:09,"936 National Highway, Ludhiana",30.9078,75.8872,Forgery,Medium,Railway Station Area
2020-10-11,14:12,"736 Gandhi Nagar, Dehradun",30.3592,78.0008,Assault,Medium,Central
2020-10-11,22:57,"983 Brigade Road, Thane",19.2556,72.9906,Honor Killing,Critical,Hospital Area
2020-10-12,10:30,"168 Cantonment, Haridwar",29.952,78.1586,Cybercrime,Medium,Old City
2020-10-12,10:52,"84 Hill Road, Jamshedpur",22.7752,86.2222,Counterfeiting,Medium,IT Hub
2020-10-12,14:32,"783 Beach Road, Haridwar",29.9654,78.2009,Vandalism,Low,Market Area
2020-10-12,16:05,"376 Nehru Street, Nagpur",21.1106,79.1121,Theft,Medium,University Area
2020-10-12,16:13,"776 Main Road, Tiruchirappalli",10.8222,78.6877,Eve Teasing,Low,North
2020-10-12,17:01,"840 River Road, Indore",22.7163,75.8593,Vandalism,High,Airport Area
2020-10-12,17:04,"322 Raj Path, Jamshedpur",22.8007,86.1865,House Breaking,Medium,Financial District
2020-10-13,04:11,"56 Nehru Street, Ahmedabad",23.0086,72.6015,IT Act Violation,Low,South
2020-10-13,14:33,"895 Outer Ring Road, Kolkata",22.5667,88.4026,Property Dispute,High,Bus Terminal Area
2020-10-13,16:22,"200 LBS Road, Thane",19.2318,72.9793,IT Act Violation,Medium,Market Area
2020-10-13,16:24,"135 Raj Path, Amritsar",31.6115,74.8431,Vandalism,Low,Residential Area
2020-10-14,12:51,"904 Residency Road, Raipur",21.2807,81.6246,Robbery,Medium,Industrial Area
2020-10-14,20:33,"944 Gandhi Nagar, Ludhiana",30.9491,75.867,Burglary,Medium,Old City
2020-10-15,11:54,"174 National Highway, Hyderabad",17.3623,78.4922,Fraud,Low,Suburban
2020-10-15,12:51,"569 Express Highway, Tirunelveli",8.7161,77.748,Child Abuse,Medium,Suburban
2020-10-15,17:04,"749 Commercial Street, Faridabad",28.3735,77.326,Juvenile Crime,Low,Central
2020-10-15,19:02,"590 Raj Path, Jaipur",26.8862,75.7555,Theft,High,Commercial District
2020-10-16,04:13,"852 Lake Road, Jaipur",26.8716,75.7966,Land Dispute,Low,Suburban
2020-10-16,06:04,"829 Gandhi Nagar, Raipur",21.2614,81.6599,Robbery,Medium,Commercial District
2020-10-16,10:19,"700 Beach Road, Hyderabad",17.3539,78.5096,Burglary,Medium,Industrial Area
2020-10-16,13:26,"704 Gandhi Nagar, Imphal",24.8173,93.8994,Narcotic Drugs Act,Low,Hospital Area
2020-10-16,19:43,"281 Brigade Road, Nashik",20.0025,73.7736,Cheating,Low,Old City
2020-10-17,12:46,"769 Park Street, Amritsar",31.6366,74.9082,Cybercrime,High,Commercial District
2020-10-17,13:00,"151 Brigade Road, Thane",19.1707,72.9708,Forgery,Low,Hospital Area
2020-10-17,16:27,"380 Nehru Street, Madurai",9.8969,78.1317,Mischief,Low,Financial District
2020-10-17,17:17,"335 Inner Ring Road, Nagpur",21.1382,79.0741,Cheating,Medium,New Town
2020-10-17,18:01,"915 Market Street, Pune",18.5687,73.8469,Motor Vehicle Theft,Low,Suburban
2020-10-17,20:19,"911 Express Highway, Meerut",28.9884,77.6828,Eve Teasing,Low,Downtown
2020-10-18,09:57,"393 Inner Ring Road, Kolkata",22.5933,88.3727,Domestic Violence,High,University Area
2020-10-18,11:21,"699 Commercial Street, Guwahati",26.124,91.7804,Drug Trafficking,High,North
2020-10-18,15:07,"45 Mall Road, Guwahati",26.0965,91.6882,Domestic Violence,High,Government Quarter
2020-10-18,15:46,"704 Nehru Street, Madurai",9.9436,78.1495,Grievous Hurt,Low,Railway Station Area
2020-10-18,16:11,"324 Beach Road, Ahmedabad",22.975,72.6038,Mischief,Medium,Mall Area
2020-10-18,16:44,"81 Linking Road, Thane",19.199,72.9491,Motor Vehicle Theft,Low,Mall Area
2020-10-19,11:19,"418 National Highway, Lucknow",26.8625,80.9336,Cheating,Low,Central
2020-10-20,07:48,"761 Station Road, Jabalpur",23.2268,80.0268,Burglary,Medium,University Area
2020-10-20,10:49,"693 Station Road, Pune",18.5526,73.9005,House Breaking,High,Suburban
2020-10-20,12:24,"381 Nehru Street, Amritsar",31.5866,74.9188,Burglary,Medium,Mall Area
2020-10-20,13:52,"793 Express Highway, Salem",11.6354,78.105,Dacoity,Medium,Financial District
2020-10-20,16:42,"368 SV Road, Kota",25.2296,75.8438,Property Dispute,Medium,Hospital Area
2020-10-20,17:51,"264 Raj Path, Mumbai",19.0763,72.9124,Criminal Breach of Trust,Low,Market Area
2020-10-21,06:12,"642 Station Road, Dehradun",30.3422,78.0316,Vandalism,Medium,Old City
2020-10-21,07:29,"288 Commercial Street, Kochi",9.9471,76.2493,Forgery,Medium,East
2020-10-21,13:51,"548 Linking Road, Nagpur",21.116,79.0789,Kidnapping,Critical,Central
2020-10-21,17:16,"979 Hill Road, Raipur",21.2072,81.675,Property Dispute,Medium,Residential Area
2020-10-22,06:48,"79 Cantonment, Imphal",24.8383,93.9266,IT Act Violation,High,Downtown
2020-10-22,07:09,"29 Express Highway, Haridwar",29.9234,78.2094,IT Act Violation,Low,Airport Area
